date, value 
2022-01-30, 2
2022-02-03, 1
2022-02-08, 1
2022-02-10, 2
2022-02-11, 1
2022-02-12, 1
2022-02-15, 2
2022-02-16, 2
2022-02-22, 1
2022-02-25, 1
2022-02-27, 1
2022-03-01, 1
2022-03-26, 1
2022-04-03, 1
2022-04-22, 1
2022-05-10, 1
2022-06-22, 1
2022-06-23, 1
2022-07-08, 1
2022-07-13, 1
2022-07-23, 1
2022-08-12, 2
2022-08-15, 2
2022-09-01, 1
2022-09-02, 1
2022-09-29, 2
2022-10-03, 1
2022-10-05, 1
2022-11-14, 1
2022-11-16, 1
2022-11-19, 1
2022-11-20, 1
2022-11-21, 1
2022-11-22, 1
2022-11-23, 1
2022-11-27, 1
2022-12-02, 1
2022-12-07, 3
2022-12-10, 1
2022-12-12, 1
2022-12-13, 1
2022-12-14, 1
2022-12-16, 1
2022-12-20, 1
2022-12-27, 1
2022-12-28, 1
2022-12-30, 1
2022-12-31, 1
2023-01-01, 5
2023-01-02, 6
2023-01-03, 3
2023-01-04, 7
2023-01-05, 3
2023-01-06, 2
2023-01-07, 1
2023-01-08, 1
2023-01-10, 1
2023-01-11, 2
2023-01-12, 5
2023-01-13, 2
2023-01-15, 5
2023-01-16, 2
2023-01-17, 2
2023-01-18, 2
2023-01-19, 4
2023-01-20, 2
2023-01-21, 2
2023-01-22, 1
2023-01-23, 1
2023-01-24, 4
2023-01-29, 1
2023-01-30, 1
2023-01-31, 3
2023-02-01, 2
2023-02-02, 6
2023-02-03, 3
2023-02-05, 3
2023-02-06, 1
2023-02-08, 1
2023-02-09, 2
2023-02-10, 1
2023-02-11, 1
2023-02-12, 3
2023-02-13, 21
2023-02-15, 4
2023-02-16, 9
2023-02-17, 2
2023-02-20, 1
2023-02-21, 1
2023-02-22, 1
2023-02-24, 1
2023-02-26, 1
2023-03-03, 1
2023-03-05, 2
2023-03-06, 1
2023-03-08, 1
2023-03-09, 1
2023-03-10, 4
2023-03-14, 2
2023-03-15, 1
2023-03-16, 2
2023-03-17, 1
2023-03-18, 1
2023-03-21, 10
2023-03-22, 7
2023-03-24, 1
2023-03-29, 1
2023-04-04, 1
2023-04-05, 1
2023-04-06, 2
2023-04-07, 1
2023-04-08, 1
2023-04-09, 1
2023-04-13, 3
2023-04-15, 1
2023-04-19, 2
2023-04-21, 3
2023-04-22, 3
2023-04-23, 1
2023-05-02, 2
2023-05-03, 3
2023-05-04, 1
2023-05-05, 2
2023-05-06, 1
2023-05-07, 2
2023-05-09, 2
2023-05-10, 1
2023-05-12, 7
2023-05-13, 3
2023-05-14, 2
2023-05-15, 1
2023-05-17, 4
2023-05-18, 3
2023-05-19, 1
2023-05-20, 3
2023-05-22, 2
2023-05-23, 1
2023-05-24, 1
2023-05-25, 1
2023-05-28, 2
2023-05-30, 1
2023-05-31, 1
2023-06-01, 4
2023-06-02, 2
2023-06-03, 1
2023-06-04, 2
2023-06-05, 3
2023-06-06, 2
2023-06-07, 4
2023-06-09, 3
2023-06-10, 2
2023-06-11, 4
2023-06-12, 3
2023-06-13, 2
2023-06-16, 1
2023-06-17, 1
2023-06-19, 1
2023-06-21, 1
2023-06-22, 1
2023-06-23, 1
2023-06-27, 1
2023-06-28, 2
2023-06-29, 1
2023-06-30, 7
2023-07-03, 1
2023-07-07, 3
2023-07-10, 3
2023-07-11, 1
2023-07-12, 5
2023-07-16, 1
2023-07-17, 19
2023-07-18, 10
2023-07-19, 1
2023-07-20, 3
2023-07-22, 1
2023-07-24, 14
2023-07-25, 9
2023-07-26, 6
2023-07-27, 7
2023-08-03, 1
2023-08-04, 1
2023-08-13, 1
2023-08-16, 1
2023-08-19, 1
2023-08-22, 2
2023-08-23, 1
2023-08-26, 1
2023-08-27, 2
2023-08-28, 7
2023-08-30, 1
2023-08-31, 1
2023-09-01, 1
2023-09-03, 1
2023-09-05, 1
2023-09-06, 1
2023-09-09, 1
2023-09-10, 2
2023-09-11, 1
2023-09-12, 1
2023-09-13, 1
2023-09-14, 2
2023-09-15, 1
2023-09-17, 1
2023-09-18, 2
2023-09-19, 4
2023-09-20, 1
2023-09-21, 2
2023-09-22, 2
2023-09-26, 3
2023-10-11, 1
2023-10-13, 1
2023-10-16, 2
2023-10-17, 1
2023-10-19, 3
2023-10-20, 2
2023-10-22, 1
2023-10-23, 1
2023-10-24, 6
2023-10-25, 2
2023-10-26, 1
2023-10-28, 2
2023-10-30, 4
2023-10-31, 3
2023-11-01, 1
2023-11-02, 2
2023-11-03, 1
2023-11-04, 16
2023-11-05, 12
2023-11-06, 55
2023-11-07, 28
2023-11-08, 20
2023-11-09, 7
2023-11-10, 20
2023-11-11, 3
2023-11-13, 4
2023-11-14, 2
2023-11-16, 2
2023-11-17, 1
2023-11-18, 2
2023-11-20, 1
2023-11-21, 2
2023-11-24, 1
2023-11-26, 1
2023-11-27, 4
2023-11-28, 1
2023-11-29, 1
2023-11-30, 8
2023-12-03, 1
2023-12-04, 1
2023-12-05, 3
2023-12-06, 2
2023-12-07, 1
2023-12-09, 1
2023-12-10, 2
2023-12-11, 3
2023-12-12, 2
2023-12-13, 1
2023-12-14, 1
2023-12-17, 2
2023-12-18, 3
2023-12-20, 2
2023-12-24, 1
2023-12-28, 1
2024-01-02, 1
2024-01-04, 1
2024-01-05, 1
