date, value 
2022-11-13, 4
2022-11-14, 1
2022-11-15, 1
2022-11-21, 1
2022-12-02, 1
2022-12-07, 2
2022-12-10, 1
2022-12-12, 1
2022-12-13, 1
2022-12-16, 1
2022-12-20, 1
2022-12-27, 1
2022-12-31, 1
2023-01-01, 5
2023-01-02, 13
2023-01-03, 3
2023-01-04, 8
2023-01-05, 1
2023-01-06, 2
2023-01-07, 1
2023-01-10, 1
2023-01-11, 1
2023-01-12, 7
2023-01-13, 1
2023-01-14, 2
2023-01-15, 3
2023-01-16, 2
2023-01-17, 2
2023-01-18, 2
2023-01-19, 4
2023-01-20, 2
2023-01-21, 4
2023-01-23, 3
2023-01-24, 5
2023-01-25, 2
2023-01-26, 1
2023-01-29, 1
2023-01-30, 2
2023-01-31, 3
2023-02-01, 2
2023-02-02, 6
2023-02-03, 3
2023-02-05, 3
2023-02-06, 1
2023-02-08, 1
2023-02-09, 2
2023-02-10, 2
2023-02-11, 1
2023-02-12, 2
2023-02-13, 21
2023-02-15, 14
2023-02-16, 19
2023-02-17, 5
2023-02-20, 3
2023-02-21, 1
2023-02-22, 1
2023-02-24, 1
2023-03-03, 1
2023-03-05, 2
2023-03-06, 1
2023-03-09, 1
2023-03-10, 5
2023-03-14, 2
2023-03-16, 3
2023-03-17, 1
2023-03-18, 1
2023-03-21, 9
2023-03-22, 9
2023-04-03, 14
2023-04-04, 2
2023-04-05, 2
2023-04-06, 3
2023-04-07, 1
2023-04-08, 1
2023-04-10, 1
2023-04-13, 3
2023-04-15, 2
2023-04-16, 3
2023-04-21, 3
2023-04-22, 3
2023-05-02, 15
2023-05-03, 3
2023-05-04, 1
2023-05-05, 1
2023-05-07, 2
2023-05-10, 1
2023-05-11, 2
2023-05-12, 7
2023-05-14, 1
2023-05-15, 1
2023-05-17, 5
2023-05-18, 16
2023-05-19, 6
2023-05-20, 2
2023-05-21, 1
2023-05-22, 2
2023-05-23, 1
2023-05-24, 2
2023-05-30, 1
2023-05-31, 1
2023-06-01, 11
2023-06-02, 4
2023-06-03, 1
2023-06-04, 2
2023-06-05, 5
2023-06-06, 5
2023-06-07, 4
2023-06-09, 3
2023-06-10, 2
2023-06-11, 6
2023-06-12, 4
2023-06-13, 3
2023-06-16, 1
2023-06-24, 1
2023-06-27, 1
2023-06-28, 1
2023-06-29, 3
2023-06-30, 8
2023-07-06, 18
2023-07-07, 4
2023-07-09, 1
2023-07-10, 5
2023-07-11, 1
2023-07-12, 3
2023-07-13, 1
2023-07-14, 1
2023-07-16, 1
2023-07-17, 20
2023-07-18, 10
2023-07-19, 1
2023-07-20, 2
2023-07-21, 1
2023-07-22, 1
2023-07-23, 1
2023-07-24, 16
2023-07-25, 9
2023-07-26, 6
2023-07-27, 2
2023-08-01, 5
2023-08-13, 1
2023-08-18, 1
2023-08-22, 2
2023-08-23, 1
2023-08-27, 2
2023-08-28, 9
2023-09-01, 1
2023-09-02, 1
2023-09-03, 1
2023-09-04, 2
2023-09-05, 1
2023-09-06, 11
2023-09-08, 1
2023-09-09, 2
2023-09-10, 1
2023-09-11, 2
2023-09-12, 3
2023-09-13, 1
2023-09-14, 1
2023-09-15, 1
2023-09-16, 2
2023-09-17, 2
2023-09-18, 1
2023-09-19, 5
2023-09-21, 3
2023-09-22, 1
2023-10-11, 5
2023-10-16, 1
2023-10-17, 11
2023-10-19, 2
2023-10-20, 2
2023-10-21, 21
2023-10-22, 1
2023-10-23, 5
2023-10-24, 8
2023-10-25, 2
2023-10-26, 5
2023-10-27, 2
2023-10-28, 1
2023-10-30, 3
2023-10-31, 4
2023-11-01, 1
2023-11-02, 4
2023-11-04, 39
2023-11-05, 19
2023-11-06, 70
2023-11-07, 29
2023-11-08, 26
2023-11-09, 12
2023-11-10, 29
2023-11-11, 2
2023-11-13, 7
2023-11-14, 3
2023-11-16, 2
2023-11-18, 2
2023-11-19, 1
2023-11-20, 3
2023-11-24, 4
2023-11-25, 1
2023-11-26, 1
2023-11-27, 5
2023-11-28, 1
2023-11-29, 2
2023-11-30, 16
2023-12-04, 8
2023-12-05, 3
2023-12-06, 1
2023-12-07, 2
2023-12-09, 3
2023-12-10, 1
2023-12-11, 2
2023-12-14, 4
2023-12-15, 1
2023-12-17, 1
2024-01-06, 27
2024-01-07, 3
