date, total, active 
2022-02-02, 2, 2
2022-02-03, 2, 2
2022-02-04, 3, 3
2022-02-05, 3, 3
2022-02-06, 3, 3
2022-02-07, 3, 3
2022-02-08, 3, 3
2022-02-09, 4, 4
2022-02-10, 4, 4
2022-02-11, 6, 6
2022-02-12, 7, 7
2022-02-13, 8, 8
2022-02-14, 8, 8
2022-02-15, 8, 8
2022-02-16, 10, 10
2022-02-17, 12, 12
2022-02-18, 12, 12
2022-02-19, 12, 12
2022-02-20, 12, 12
2022-02-21, 12, 12
2022-02-22, 12, 12
2022-02-23, 13, 13
2022-02-24, 13, 13
2022-02-25, 13, 13
2022-02-26, 14, 14
2022-02-27, 14, 14
2022-02-28, 15, 15
2022-03-01, 15, 15
2022-03-02, 16, 16
2022-03-03, 16, 16
2022-03-04, 16, 16
2022-03-05, 16, 16
2022-03-06, 16, 15
2022-03-07, 16, 15
2022-03-08, 16, 15
2022-03-09, 16, 15
2022-03-10, 16, 15
2022-03-11, 16, 14
2022-03-12, 16, 14
2022-03-13, 16, 13
2022-03-14, 16, 11
2022-03-15, 16, 10
2022-03-16, 16, 10
2022-03-17, 16, 10
2022-03-18, 16, 8
2022-03-19, 16, 6
2022-03-20, 16, 6
2022-03-21, 16, 6
2022-03-22, 16, 6
2022-03-23, 16, 6
2022-03-24, 16, 6
2022-03-25, 16, 5
2022-03-26, 16, 5
2022-03-27, 17, 6
2022-03-28, 17, 5
2022-03-29, 17, 4
2022-03-30, 17, 3
2022-03-31, 17, 3
2022-04-01, 17, 2
2022-04-02, 17, 2
2022-04-03, 17, 2
2022-04-04, 18, 3
2022-04-05, 18, 3
2022-04-06, 18, 3
2022-04-07, 18, 3
2022-04-08, 18, 3
2022-04-09, 18, 3
2022-04-10, 18, 3
2022-04-11, 18, 3
2022-04-12, 18, 3
2022-04-13, 18, 3
2022-04-14, 18, 3
2022-04-15, 18, 3
2022-04-16, 18, 3
2022-04-17, 18, 3
2022-04-18, 18, 3
2022-04-19, 18, 3
2022-04-20, 18, 3
2022-04-21, 18, 3
2022-04-22, 18, 3
2022-04-23, 19, 4
2022-04-24, 19, 4
2022-04-25, 19, 4
2022-04-26, 19, 3
2022-04-27, 19, 3
2022-04-28, 19, 3
2022-04-29, 19, 3
2022-04-30, 19, 3
2022-05-01, 19, 3
2022-05-02, 19, 3
2022-05-03, 19, 3
2022-05-04, 19, 3
2022-05-05, 19, 3
2022-05-06, 19, 3
2022-05-07, 19, 3
2022-05-08, 19, 3
2022-05-09, 19, 3
2022-05-10, 19, 3
2022-05-11, 20, 4
2022-05-12, 20, 4
2022-05-13, 20, 4
2022-05-14, 20, 4
2022-05-15, 20, 4
2022-05-16, 20, 4
2022-05-17, 20, 4
2022-05-18, 20, 4
2022-05-19, 20, 4
2022-05-20, 20, 4
2022-05-21, 20, 4
2022-05-22, 20, 4
2022-05-23, 20, 4
2022-05-24, 20, 4
2022-05-25, 20, 4
2022-05-26, 20, 3
2022-05-27, 20, 3
2022-05-28, 20, 3
2022-05-29, 20, 3
2022-05-30, 20, 3
2022-05-31, 20, 3
2022-06-01, 20, 3
2022-06-02, 20, 3
2022-06-03, 20, 2
2022-06-04, 20, 2
2022-06-05, 20, 2
2022-06-06, 20, 2
2022-06-07, 20, 2
2022-06-08, 20, 2
2022-06-09, 20, 2
2022-06-10, 20, 1
2022-06-13, 20, 1
2022-06-14, 20, 1
2022-06-15, 20, 1
2022-06-16, 20, 1
2022-06-17, 20, 1
2022-06-18, 20, 1
2022-06-19, 20, 1
2022-06-20, 20, 1
2022-06-21, 20, 1
2022-06-22, 21, 2
2022-06-23, 21, 2
2022-06-24, 22, 3
2022-06-25, 22, 3
2022-06-26, 22, 3
2022-06-27, 22, 3
2022-06-28, 22, 3
2022-06-29, 22, 3
2022-06-30, 22, 3
2022-07-01, 22, 3
2022-07-02, 22, 3
2022-07-03, 22, 3
2022-07-04, 22, 3
2022-07-05, 22, 3
2022-07-06, 22, 3
2022-07-07, 22, 3
2022-07-08, 22, 3
2022-07-09, 23, 4
2022-07-10, 23, 4
2022-07-11, 23, 4
2022-07-12, 23, 4
2022-07-13, 23, 4
2022-07-14, 24, 5
2022-07-15, 24, 5
2022-07-16, 24, 5
2022-07-17, 24, 5
2022-07-18, 24, 5
2022-07-19, 24, 5
2022-07-20, 24, 5
2022-07-21, 24, 5
2022-07-22, 24, 4
2022-07-23, 24, 3
2022-07-24, 25, 3
2022-07-25, 25, 3
2022-07-26, 25, 3
2022-07-27, 25, 3
2022-07-28, 25, 3
2022-07-29, 25, 3
2022-07-30, 25, 3
2022-07-31, 25, 3
2022-08-01, 25, 3
2022-08-02, 25, 3
2022-08-03, 25, 3
2022-08-04, 25, 3
2022-08-05, 25, 3
2022-08-06, 25, 3
2022-08-07, 25, 3
2022-08-08, 25, 2
2022-08-09, 25, 2
2022-08-10, 25, 2
2022-08-11, 25, 2
2022-08-12, 25, 2
2022-08-13, 27, 5
2022-08-14, 27, 5
2022-08-15, 27, 5
2022-08-16, 29, 6
2022-08-17, 29, 6
2022-08-18, 29, 6
2022-08-19, 29, 6
2022-08-20, 29, 6
2022-08-21, 29, 6
2022-08-22, 29, 7
2022-08-23, 29, 6
2022-08-24, 29, 6
2022-08-25, 29, 6
2022-08-26, 29, 6
2022-08-27, 29, 6
2022-08-28, 29, 6
2022-08-29, 29, 6
2022-08-30, 29, 7
2022-08-31, 29, 7
2022-09-01, 29, 7
2022-09-02, 30, 8
2022-09-03, 31, 9
2022-09-04, 31, 9
2022-09-05, 31, 9
2022-09-06, 31, 9
2022-09-07, 31, 9
2022-09-08, 31, 9
2022-09-09, 31, 9
2022-09-10, 31, 9
2022-09-11, 31, 9
2022-09-12, 31, 6
2022-09-13, 31, 6
2022-09-14, 31, 6
2022-09-15, 31, 4
2022-09-16, 31, 4
2022-09-17, 31, 4
2022-09-18, 31, 4
2022-09-19, 31, 4
2022-09-20, 31, 4
2022-09-21, 31, 3
2022-09-22, 31, 3
2022-09-23, 31, 3
2022-09-24, 31, 3
2022-09-25, 31, 3
2022-09-26, 31, 3
2022-09-27, 31, 3
2022-09-28, 31, 3
2022-09-29, 30, 2
2022-09-30, 32, 5
2022-10-01, 32, 5
2022-10-02, 32, 5
2022-10-03, 32, 3
2022-10-04, 33, 4
2022-10-05, 33, 4
2022-10-06, 34, 5
2022-10-07, 34, 5
2022-10-08, 34, 6
2022-10-09, 34, 6
2022-10-10, 34, 6
2022-10-11, 34, 6
2022-10-12, 34, 6
2022-10-13, 34, 6
2022-10-14, 34, 6
2022-10-15, 34, 6
2022-10-16, 34, 6
2022-10-17, 34, 6
2022-10-18, 34, 6
2022-10-19, 34, 6
2022-10-20, 34, 6
2022-10-21, 34, 6
2022-10-22, 34, 6
2022-10-23, 34, 6
2022-10-24, 34, 6
2022-10-25, 34, 6
2022-10-26, 34, 6
2022-10-27, 34, 6
2022-10-28, 34, 6
2022-10-29, 34, 6
2022-10-30, 34, 4
2022-10-31, 34, 4
2022-11-01, 34, 4
2022-11-02, 34, 4
2022-11-03, 34, 2
2022-11-04, 34, 3
2022-11-05, 34, 2
2022-11-06, 34, 2
2022-11-07, 34, 1
2022-11-08, 34, 1
2022-11-09, 34, 1
2022-11-10, 34, 1
2022-11-11, 34, 1
2022-11-12, 34, 1
2022-11-13, 34, 1
2022-11-14, 34, 2
2022-11-15, 35, 4
2022-11-16, 35, 5
2022-11-17, 36, 7
2022-11-18, 36, 7
2022-11-19, 36, 7
2022-11-20, 37, 8
2022-11-21, 38, 9
2022-11-22, 39, 10
2022-11-23, 40, 11
2022-11-24, 41, 12
2022-11-25, 41, 12
